Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
1,2025-10-01 00:00,Wednesday,Weekday,Clear,None,None,None,Low,4,38
2,2025-10-01 00:15,Wednesday,Weekday,Clear,None,None,None,Low,5,22
3,2025-10-01 00:30,Wednesday,Weekday,Sunny,None,None,None,Medium,9,59
4,2025-10-01 00:45,Wednesday,Weekday,Sunny,None,None,None,Low,1,33
5,2025-10-01 01:00,Wednesday,Weekday,Cloudy,None,None,None,Low,3,21
6,2025-10-01 01:15,Wednesday,Weekday,Clear,None,None,None,Medium,10,42
7,2025-10-01 01:30,Wednesday,Weekday,Cloudy,None,None,None,Medium,9,47
8,2025-10-01 01:45,Wednesday,Weekday,Rainy,None,None,None,Medium,5,44
9,2025-10-01 02:00,Wednesday,Weekday,Sunny,None,None,None,Low,5,28
10,2025-10-01 02:15,Wednesday,Weekday,Light Rain,None,None,None,Low,5,25
11,2025-10-01 02:30,Wednesday,Weekday,Rainy,None,None,None,Low,5,20
12,2025-10-01 02:45,Wednesday,Weekday,Light Rain,None,None,None,Medium,5,69
13,2025-10-01 03:00,Wednesday,Weekday,Light Rain,None,None,None,Medium,7,53
14,2025-10-01 03:15,Wednesday,Weekday,Light Rain,None,None,None,Low,3,23
15,2025-10-01 03:30,Wednesday,Weekday,Cloudy,None,None,None,Low,4,38
16,2025-10-01 03:45,Wednesday,Weekday,Clear,None,None,None,Medium,7,57
17,2025-10-01 04:00,Wednesday,Weekday,Sunny,None,None,None,Medium,8,43
18,2025-10-01 04:15,Wednesday,Weekday,Clear,None,None,None,Low,5,30
19,2025-10-01 04:30,Wednesday,Weekday,Cloudy,None,None,None,Low,0,36
20,2025-10-01 04:45,Wednesday,Weekday,Cloudy,None,None,None,Medium,6,55
21,2025-10-01 05:00,Wednesday,Weekday,Clear,None,None,None,Low,4,30
22,2025-10-01 05:15,Wednesday,Weekday,Clear,None,None,None,Low,3,37
23,2025-10-01 05:30,Wednesday,Weekday,Light Rain,None,None,None,Medium,8,65
